Title,Published_date,Views,Likes,Dislikes,Comments,Month
ROG Phone 5 Ultimate Review: The Most Ridiculous Custom!,3/10/2021,2840785,119477,0,8288,Mar
What I REALLY Think of the iPhone!,3/5/2021,10432126,300807,0,22684,Mar
"iPhone 13 ""Confirmed""?! NOPE",2/27/2021,2586150,115593,0,6265,Feb
Dogecoin: Explained,2/16/2021,3633794,149033,0,15278,Feb
How to Upgrade a PlayStation 5!,2/13/2021,2359720,90291,0,3997,Feb
Huawei Mate Xs Impressions: The Hottest Foldable!,2/5/2021,2466798,104500,0,4826,Feb
Galaxy S21 Review: Would You Notice?,2/2/2021,5051824,161621,0,10002,Feb
2021 Tesla Model S Refresh Reaction!,1/29/2021,6292848,223964,0,12738,Jan
"The Only REAL ""Pro"" Smartphone?!",1/27/2021,7569198,256297,0,11946,Jan
The Invisible Selfie Camera!,1/25/2021,3448583,137724,0,10167,Jan
Samsung Galaxy S21 Ultra Review: Problems Solved!,1/21/2021,6662713,197003,0,12088,Jan
Xiaomi Mi 11: The New Normal!,1/20/2021,3715380,136140,0,10110,Jan
Huge Apple 2021 Rumor Reactions!,1/17/2021,2932710,100163,0,7166,Jan
Samsung Galaxy S21 Ultra Impressions: Redemption Time!,1/14/2021,6149798,209687,0,16361,Jan
"Samsung Galaxy S21 Impressions: New Year, New Price!",1/14/2021,2362424,96410,0,8305,Jan
What Happened to OnePlus?,1/12/2021,5154466,255219,0,15743,Jan
2021 Tech I'm Ready For!,12/31/2020,3706119,171347,0,8296,Dec
Dear Electric Cars!,12/29/2020,3165077,175779,0,18056,Dec
Giving Away 24 PS5s and XBox Series X!,12/25/2020,2201683,202073,0,96649,Dec
Smartphone Awards 2020!,12/23/2020,6927978,295645,0,19102,Dec
Some Quick Advice from Barack Obama!,12/16/2020,3652353,260358,0,13950,Dec
AirPods Max Review: Luxury Listening!,12/16/2020,9535191,314087,0,23107,Dec
Outer Folding Phones: It's Time to Stop!,12/15/2020,1861768,90232,0,6249,Dec
The iPhone with a Piece of the Moon? The Caviar Story,12/12/2020,2990281,147427,0,8479,Dec
AirPods Max Unboxing & Impressions: $550?!,12/10/2020,12688738,414982,0,45571,Dec
The Portless iPhone: Let's Talk!,12/7/2020,6626653,234911,0,43493,Dec
The $129 Smartphone?!,12/5/2020,2626508,115938,0,8231,Dec
The Blind Smartphone Camera Test 2020!,12/3/2020,2982268,156110,0,11272,Dec
What's in my Tech Bag! [2020],11/30/2020,3685615,170074,0,10127,Nov
The FIRST MKBHD Product: ICONS!,11/27/2020,1751213,124510,0,10502,Nov
The First Folding Screen Tablet!,11/24/2020,2810009,139353,0,9885,Nov
Apple M1 Mac Review: Time to Recalibrate!,11/17/2020,8997928,303579,0,16646,Nov
PlayStation 5 Review: Next Gen Gaming!,11/14/2020,7937200,250746,0,14948,Nov
"HomePod Mini Review: Big Sound, Tiny Box!",11/12/2020,5835149,162707,0,7705,Nov
Apple M1 Chip: Let's Talk!,11/11/2020,4240755,170025,0,11772,Nov
iPhone 12 Pro Max Review: The Biggest Ever!,11/9/2020,6108642,178632,0,12411,Nov
iPhone 12 Mini Review: Tiny Tradeoffs!,11/9/2020,5617007,166829,0,7235,Nov
PlayStation 5 Controller: Major Key!,11/1/2020,3719675,165598,0,9829,Nov
iPhone 12 Pro Review: You Sure About That?,10/30/2020,8515350,238522,0,16756,Oct
PlayStation 5 Unboxing & Accessories!,10/27/2020,14387189,588237,0,39249,Oct
iPhone 12 Review: Just Got Real!,10/25/2020,13424901,329175,0,21087,Oct
Google Pixel 5 Review: Software Special!,10/23/2020,4719767,148963,0,8419,Oct
Huawei Mate 40 Pro Impressions: Technically Awesome!,10/22/2020,2837406,111456,0,7839,Oct
iPad Air 2020: The Real iPad Pro Killer!,10/21/2020,7099678,208133,0,11545,Oct
iPhone 12 Unboxing Experience + MagSafe Demo!,10/20/2020,12846065,434064,0,33036,Oct
LG Wing: The Swiveling Smartphone!,10/16/2020,5270371,180082,0,13240,Oct
The $200 Smartphone?!,10/15/2020,2274937,101814,0,12368,Oct
Google Pixel 5 Impressions: A New Strategy?,10/14/2020,3887121,134319,0,8524,Oct
OnePlus 8T Review: The Awkward Middle Child!,10/14/2020,3317560,112120,0,9581,Oct
Apple iPhone 12 Lineup Reactions!,10/14/2020,6755889,229649,0,25703,Oct
Why Don't People Buy Sony Smartphones?,10/5/2020,7827304,311852,0,35206,Oct
Apple Watch Series 6 Review: It's Bait!,10/2/2020,4599863,129639,0,5945,Oct
The Galaxy S20 Fan Edition: Hear Me Out!,9/29/2020,5360898,162712,0,38428,Sep
The Ultimate iOS 14 Homescreen Setup Guide!,9/25/2020,12398340,314728,0,12865,Sep
Can You Actually Game in 8K? (RTX 3090 Gameplay!),9/23/2020,11312232,331739,0,26572,Sep
Porsche Taycan Turbo: I Almost Switched!  [Auto Focus Ep 6],9/22/2020,4763639,161740,0,14496,Sep
Xbox Series X/S Design Impressions!,9/18/2020,2452768,112864,0,9237,Sep
Apple Watch Series 6: Everything New! (Product RED),9/17/2020,5355020,159516,0,8477,Sep
Talking Tech and The Metaverse with Mark Zuckerberg!,9/16/2020,3780348,200972,0,16122,Sep
Galaxy Z Fold 2 Review: Folding King... But For What?,9/12/2020,2845388,99699,0,8304,Sep
"Surface Duo Review: The Good, The Bad & The Ugly!",9/10/2020,2920059,102281,0,7814,Sep
Moto RAZR 2 Impressions: Nostalgia Reloaded?,9/9/2020,2637908,98761,0,5407,Sep
Samsung Galaxy Z Fold 2 Unboxing: 3 Major Upgrades!,9/3/2020,3485918,137261,0,8792,Sep
Surface Duo Unboxing & Impressions: Hinge Goals!,8/26/2020,3043654,120424,0,9245,Aug
Samsung Galaxy Nope 20!,8/26/2020,3656084,132027,0,13293,Aug
6K RED Komodo Impressions: The Mini Cine Camera!,8/21/2020,1917688,77928,0,5112,Aug
Galaxy Note 20 Ultra Review: It Better Be Good!,8/18/2020,5208131,160314,0,13397,Aug
Dope Tech: The iPad Pro Killer?!,8/17/2020,7978145,260124,0,12746,Aug
Sony WH-1000XM4 Review: The Final Form!,8/13/2020,5969141,194456,0,10116,Aug
Dope Tech: Boston Dynamics Robot Dog!,8/11/2020,6661298,243118,0,15590,Aug
The Last Intel Mac VS The Osborne Effect!,8/6/2020,1723116,67568,0,4131,Aug
Samsung Galaxy Note 20 Ultra Impressions: Ultra Premium!,8/5/2020,3606338,134872,0,15608,Aug
Google Pixel 4a Review: Simple and Clean!,8/3/2020,5940612,196243,0,12936,Aug
The TRUTH About OnePlus Nord!,7/27/2020,4448233,153910,0,9470,Jul
Why Tesla Model Y is Their Most Important Car! [Auto Focus Ep 5],7/25/2020,3814670,130937,0,6306,Jul
Asus ROG Phone 3 Review: The Spec King Returns!,7/22/2020,3537878,119439,0,8938,Jul
OnePlus Nord Impressions: Back to Budget!,7/21/2020,2789319,122834,0,9229,Jul
Dope Tech: The Biggest Ultrawide Monitor!,7/18/2020,4374222,155995,0,5647,Jul
OnePlus Nord Reveal! How Much Do Smartphones Actually Cost?,7/14/2020,3909736,171014,0,12554,Jul
Can You Trust MKBHD?,7/9/2020,4245409,253809,0,18392,Jul
iPhone 12: What to Expect!,7/7/2020,5054877,161726,0,11361,Jul
On the iPhone With No Charger...,7/1/2020,4497132,193048,0,34234,Jul
Apple Responds to Your Comments!,6/26/2020,6630912,258093,0,17214,Jun
iOS 14 Hands-On: Everything New!,6/23/2020,10483932,318911,0,24736,Jun
WWDC 2020 Impressions: Widgets and The Great Transition!,6/23/2020,4776980,209645,0,20343,Jun
Samsung Galaxy Buds Plus: The Go-To!,6/19/2020,3223057,121544,0,7418,Jun
PS5 Impressions: My Thoughts!,6/17/2020,5725886,215751,0,17067,Jun
The Largest Daily Driver Unboxing!,6/16/2020,2595554,115034,0,12373,Jun
Top 5 Android 11 Features: Big Tweaks!,6/16/2020,3926316,141994,0,8128,Jun
CyberTruck Phone Impressions... Ridiculous,6/11/2020,3726589,139598,0,8124,Jun
Dope Tech:  The $3500 Bluetooth Speaker!,6/9/2020,5983519,173237,0,5309,Jun
Reflecting on the Color of My Skin,6/4/2020,7588517,692528,0,50683,Jun
Escobar Responds! A PSA,5/29/2020,7271990,282359,0,14452,May
Poco F2 Pro: The Full Screen Deal!,5/26/2020,4202392,120444,0,8154,May
How Teslas Upgrade Over Time!,5/23/2020,3723436,156270,0,5478,May
Surface Headphones 2: Matte Black Everything!,5/19/2020,2056052,80386,0,4304,May
The Budget Phone Blueprint!,5/15/2020,2425368,91178,0,9299,May
The Fastest Phone of 2020!,5/13/2020,4264011,126262,0,7430,May
The $700 Mac Pro Wheels: Explained!,5/9/2020,7751597,246366,0,22399,May
"The 2020 13"" MacBook Pro Impressions: Wait a Minute!",5/7/2020,4707219,114952,0,7461,May
Google Pixel Buds Review: WAY Better!,5/5/2020,4287915,142950,0,8530,May
iPhone 11 Pro Review: 6 Months Later!,5/2/2020,4352610,132312,0,8284,May
Moto Edge+ Review: We Need to Talk!,4/30/2020,4146116,122084,0,9412,Apr
"World's ""FASTEST"" Gaming PC!",4/27/2020,3455597,144918,0,8545,Apr
iPhone SE (2020) Review: It All Adds Up!,4/22/2020,9896421,300945,0,26133,Apr
Apple Magic Keyboard: Floating iPad Pro?,4/20/2020,7724514,196585,0,10804,Apr
iPhone SE (2020) Honest Thoughts...,4/17/2020,4323003,161431,0,17328,Apr
OnePlus 8 Review: Special No More!,4/16/2020,3527065,100929,0,6831,Apr
OnePlus 8 Pro Review: Finally a Flagship!,4/14/2020,6603556,182667,0,14837,Apr
Last Video in this Studio!,4/6/2020,1589639,97057,0,6152,Apr
What's On My Phone: 2020!,3/28/2020,3986714,121839,0,7499,Mar
Huawei P40 Pro Impressions: What We Should Copy!,3/26/2020,3766257,96970,0,7573,Mar
2020 MacBook Air Impressions: A Clean Refresh!,3/20/2020,5895482,175752,0,6382,Mar
The Rollable Smartphone?,3/17/2020,2835445,96378,0,7537,Mar
Samsung Galaxy S20 Review: All the Right Moves!,3/14/2020,4492921,105921,0,7555,Mar
The Truth About the Escobar Folding Phone!,3/10/2020,8896740,352871,0,17738,Mar
Oppo Find X2 Pro: One-Upping the Champ?,3/6/2020,3088389,88518,0,5144,Mar
Samsung Galaxy S20 Ultra Review: Attack of the Numbers!,3/3/2020,7372762,148761,0,11203,Mar
Xiaomi Mi Mix Alpha Impressions: The Wraparound Display!,2/28/2020,17467611,420905,0,23393,Feb
The 2020 Mac Pro: A Silent Killer!,2/25/2020,4377422,128236,0,7890,Feb
MKBHD Studio 2020 Build: Part 1!,2/23/2020,2264079,100380,0,5775,Feb
Galaxy Z Flip vs Moto RAZR 2020: 10 Differences!,2/21/2020,3135461,68242,0,3895,Feb
Samsung Galaxy Z Flip Unboxing: It's Growing on Me!,2/19/2020,4540689,108046,0,5592,Feb
Talking Tech and 2020 with Bill Gates!,2/14/2020,3689689,153189,0,8199,Feb
Samsung Galaxy Z Flip Impressions: Mixed Feelings!,2/12/2020,5933247,169389,0,10219,Feb
Samsung Galaxy S20 Ultra Impressions: 108 Megapixels!,2/11/2020,7443477,173267,0,14559,Feb
"Galaxy S20 Impressions: New Year, New Samsung!",2/11/2020,6346475,157584,0,9627,Feb
Foldable Moto RAZR Unboxing & Second Thoughts!,2/10/2020,2464347,76161,0,5894,Feb
Are we at Peak Smartphone?,1/31/2020,2547484,96071,0,7277,Jan
YouTube Diamond Play Button Review!,1/25/2020,5557998,220457,0,8785,Jan
Why Everyone is Copying AirPods: Explained!,1/15/2020,7207155,219609,0,11596,Jan
The MKBHD Setup Tour 2020!,1/13/2020,4341381,130461,0,6723,Jan
Dope Tech of CES 2020: Sony Made a Car?!,1/9/2020,2176653,74672,0,3281,Jan
OnePlus Concept One Phone: Disappearing Cameras?,1/7/2020,2570678,84037,0,3336,Jan
Most Overrated Tech? 8K Ask MKBHD 2020!,1/6/2020,2182230,96514,0,4707,Jan
The Banned Huawei Mate 30 Pro: Best Phone You Shouldn't Buy!,1/3/2020,4026938,99544,0,6591,Jan
2020 Tech I'm Ready For!,12/31/2019,2835270,102293,0,5169,Dec
The Most Expensive iPhone in the World!,12/27/2019,3915577,148975,0,11097,Dec
Smartphone Awards 2019!,12/24/2019,7146523,224559,0,22313,Dec
Would a Walkman work in space?,12/23/2019,273039,8307,0,685,Dec
Dope Tech: The World's Largest 8K OLED!,12/21/2019,3732819,104103,0,4071,Dec
"10,000,000!",12/18/2019,2988355,310829,0,19880,Dec
The Blind Smartphone Camera Test 2019!,12/17/2019,2577047,115746,0,12824,Dec
Console Wars!,12/16/2019,482830,12353,0,1268,Dec
Apple Pro Display XDR: A Grand Stand?!,12/13/2019,4809620,127286,0,7869,Dec
Mac Pro Unboxing & Second Impressions: The Power is Back!,12/10/2019,5028763,167325,0,14597,Dec
A look inside the original Macintosh,12/9/2019,461083,12746,0,520,Dec
Testing Real 5G: Part 2!,12/5/2019,2973852,91617,0,8104,Dec
Favorite Tech of the Year Rewind Collab!,12/4/2019,1730434,89506,0,5260,Dec
RETRO TECH: DYNATAC,12/2/2019,0,0,0,2133,Dec
RETRO TECH: POLAROID,12/2/2019,0,0,0,2144,Dec
RETRO TECH: WALKMAN,12/2/2019,0,0,0,4708,Dec
RETRO TECH: SEGA GENESIS,12/2/2019,0,0,0,7324,Dec
RETRO TECH: MACINTOSH,12/2/2019,0,0,0,9456,Dec
Analog vs. Digital Cameras,12/2/2019,394096,11174,0,289,Dec
RETRO TECH: CAMCORDER,12/2/2019,9278829,144532,0,6369,Dec
"16"" MacBook Pro Review: Now Do It Again!",11/28/2019,3442316,90392,0,4932,Nov
RETRO TECH: OFFICIAL TRAILER,11/25/2019,2588459,117397,0,5043,Nov
Why I Ordered a Tesla CyberTruck!,11/24/2019,8652344,281710,0,25370,Nov
Tesla CyberTruck Impressions & First Drive!,11/22/2019,10479531,224773,0,34592,Nov
The 108-Megapixel Smartphone Camera?!,11/19/2019,3296754,94477,0,6476,Nov
2020 Moto RAZR Impressions! The Return of a Folding Icon!,11/14/2019,7676296,173061,0,15838,Nov
"16"" Macbook Pro First Impressions!",11/13/2019,3253914,98654,0,5095,Nov
iPhone 11 Pro vs Original iPhone!,11/7/2019,4483874,122876,0,14481,Nov
AirPods Pro Review: Imperfectly Perfect!,11/5/2019,7438571,205361,0,8654,Nov
Beats Solo Pro: Return to Excellence!,11/1/2019,2566777,75226,0,3850,Nov
LG G8X Proves Foldables are Coming!,10/31/2019,2726929,73815,0,5284,Oct
AirPods Pro Unboxing & Impressions!,10/29/2019,10830904,271792,0,18383,Oct
Google Pixel 4 Review: Inside the Hype Machine!,10/22/2019,5771219,119257,0,11134,Oct
OnePlus 7T Pro: Tiny Tweaks to Excellence!,10/18/2019,2623012,71640,0,3842,Oct
Pixel 4 Impressions: Google and Gaps!,10/16/2019,4351787,118015,0,15494,Oct
This Is What Happens When You Re-Upload a YouTube Video 1000 Times!,10/11/2019,9151307,365553,0,19740,Oct
Apple Watch Series 5 Review: One Big Tradeoff!,10/9/2019,4405160,94011,0,4985,Oct
Talking Tech & Meme Review with Will Smith!,10/8/2019,2968456,155219,0,7993,Oct
Talking Tech with Microsoft CEO Satya Nadella!,10/3/2019,2534810,97765,0,5189,Oct
Hands-on with Microsoft's Future Foldables!,10/2/2019,3255504,91796,0,6932,Oct
2019 Microsoft Surface Family Impressions!,10/2/2019,3634151,92061,0,4455,Oct
iPhone 11 Review: Too Easy!,9/30/2019,9389378,210711,0,12980,Sep
"OnePlus 7T Review: High Refresh, Low Price!",9/26/2019,3654223,93346,0,6852,Sep
iPhone 11 Pro Review: For the Love of Cameras!,9/20/2019,9196501,195711,0,16147,Sep
Unboxing Every Green iPhone 11!,9/17/2019,4629125,125220,0,13679,Sep
Samsung Galaxy Fold Re-do: Everything New!,9/15/2019,7887155,168677,0,12067,Sep
Asus ROG Phone 2 Review: The Spec King!,9/13/2019,4255865,132392,0,13135,Sep
iPhone 11 Pro Impressions: What a Name!,9/11/2019,7758720,172036,0,24684,Sep
iPhone 11 Impressions: A Familiar Sequel!,9/11/2019,4813517,122917,0,14519,Sep
Dope Tech #20: Dual Screen Tech!,9/6/2019,3378801,87256,0,4001,Sep
Let's Talk About Porsche Taycan!,9/5/2019,2809481,93695,0,9212,Sep
Samsung Galaxy Note 10: But Why Tho?,8/27/2019,5025125,105594,0,7930,Aug
Samsung Galaxy Note 10+ Review: The Favorite Child!,8/22/2019,5405923,127002,0,11547,Aug
5G: Explained!,8/19/2019,9513645,260456,0,31504,Aug
Introducing Waveform: The MKBHD Podcast!,8/13/2019,713585,37397,0,2371,Aug
Apple Card Unboxing & Impressions!,8/9/2019,8351165,227349,0,12278,Aug
Samsung Galaxy Note 10/10+ Impressions: A Great Duo!,8/7/2019,7704361,204664,0,19855,Aug
Redmi K20 Pro Review: Incredible Value!,7/26/2019,4062775,105161,0,8413,Jul
The Last (and First) Folding Phone!,7/20/2019,9363124,158286,0,8933,Jul
The iPhone 11 Models!,7/17/2019,3734473,72884,0,15084,Jul
What's in my Tech Bag! [2019],7/16/2019,4258497,113621,0,5121,Jul
Boosted Rev: The Tesla of Electric Scooters!,7/11/2019,3727072,82675,0,5543,Jul
Bose Headphones 700: The King is Back!,7/2/2019,3650513,91047,0,4405,Jul
The iPad Only Challenge!,6/28/2019,5266211,131705,0,6420,Jun
PowerBeats Pro Review: Better than AirPods!,6/27/2019,4205963,99431,0,5357,Jun
OnePlus 7: Way Under the Radar!,6/21/2019,2454928,63739,0,3984,Jun
The Dream Smartphone! (2019),6/18/2019,2724713,101838,0,10327,Jun
The Closest Thing to AirPower!,6/12/2019,2036185,64969,0,1864,Jun
iPad OS Impressions: They Listened!,6/8/2019,5304923,154456,0,8201,Jun
Top 5 iOS 13 Features!,6/6/2019,5366956,148626,0,9705,Jun
2019 Mac Pro Impressions: Cheese Grater is Back!,6/4/2019,4260157,115099,0,15364,Jun
The 2019 iPod Touch: Why Does It Exist?,5/31/2019,8568072,200215,0,16130,May
Asus ZenFone 6: Swivel Camera Magic!,5/29/2019,2846132,74854,0,5784,May
Google Pixel 3a Review: A for Ace!,5/24/2019,3665470,87708,0,5650,May
The Huawei Ban: Explained!,5/22/2019,7663523,205454,0,35417,May
OnePlus 7 Pro: What You Didn't Know!,5/20/2019,4689694,109107,0,6010,May
Dope Tech: The Probe Lens!,5/17/2019,6177116,165261,0,6490,May
OnePlus 7 Pro Review: Silly Fast!,5/14/2019,8879838,209631,0,17295,May
Google Pixel 3a Impressions: Flips the Script!,5/8/2019,2333809,71594,0,7680,May
Galaxy Fold vs Huawei Mate X? Ask MKBHD V35!,5/1/2019,1563530,48845,0,2330,May
Samsung Galaxy Fold Review: We Gotta Talk!,4/26/2019,3867005,97914,0,8663,Apr
Huawei P30 Pro Review: Optical Excellence!,4/24/2019,3870328,80138,0,5964,Apr
Retro Tech: Game Boy,4/19/2019,40060097,221592,0,14410,Apr
The Broken Galaxy Folds: Explained!,4/18/2019,16887621,338106,0,30147,Apr
Samsung Galaxy Fold Unboxing: Magnets!,4/16/2019,23389036,355703,0,11432,Apr
Samsung Galaxy Fold Impressions!,4/15/2019,5239510,120246,0,11848,Apr
The MKBHD Gear Tour 2019!,4/12/2019,2896814,94276,0,5334,Apr
LG G8 Review: Master of None!,4/9/2019,2047812,58825,0,8271,Apr
This is Google Pixel 4 Ultra!,4/1/2019,3980501,157230,0,19060,Apr
The Death of AirPower: Explained!,3/30/2019,3501174,111576,0,7844,Mar
AirPods 2: Literally Everything New!,3/26/2019,6980579,154362,0,10620,Mar
Huawei P30 Pro Impressions: The Ultimate Camera?,3/26/2019,2068657,64054,0,4745,Mar
Top 5 Android Q Features!,3/18/2019,2732312,80279,0,9244,Mar
Tesla Model Y Impressions!,3/15/2019,4471670,117118,0,5871,Mar
Samsung Galaxy S10e Review: Why Not?,3/12/2019,6345688,141451,0,11947,Mar
Samsung Galaxy S10+ Review: The Bar is Set!,3/7/2019,6276469,164982,0,13640,Mar
OnePlus 6T Revisited: Better than Pixel 3?,3/1/2019,2209491,63509,0,6187,Mar
The Galaxy S10's Incredible Display!,2/26/2019,4655516,127901,0,9616,Feb
LG G8 Impressions: Can't Touch This!,2/24/2019,3432423,77972,0,9083,Feb
Countdown to 8 Million!,2/21/2019,0,14,0,0,Feb
Samsung Galaxy S10 Impressions!,2/20/2019,11068908,235853,0,24428,Feb
Samsung Galaxy S10E Impressions!,2/20/2019,3457908,83558,0,8014,Feb
Apollo is Back - My Tesla Repair Process!,2/16/2019,2545095,83056,0,5274,Feb
via Twitter for iPhone,2/14/2019,3966623,199146,0,11888,Feb
Talking Tech & Saving the World with Bill Gates!,2/12/2019,5870143,299503,0,17841,Feb
What's on my Tech: 2019!,2/7/2019,3621942,78683,0,4958,Feb
The Samsung Galaxy S10 Model!,2/4/2019,5573855,102880,0,11007,Feb
Sony WH1000XM3 Review: A New ANC King!,2/1/2019,3573398,95524,0,6535,Feb
Foldable Phones Aren't Ready (Yet),1/28/2019,1540387,53832,0,4847,Jan
Behind the Scenes of the UnboxTherapy Studio!,1/26/2019,5574972,217779,0,9612,Jan
First Look at the Hole-Punch Display!,1/16/2019,3690213,93628,0,12026,Jan
Riding in a Driverless Taxi at CES 2019!,1/11/2019,4597782,140825,0,9735,Jan
The Rollable OLED TV: The Potential is Real!,1/9/2019,2660001,78049,0,3576,Jan
Starting a Podcast? 100% Roadster? Ask MKBHD V34!,1/7/2019,935745,46858,0,2768,Jan
Xiaomi Mi Mix 3: The Ultimate Slider?,1/3/2019,2335166,75129,0,6294,Jan
2019 Tech I'm Ready For!,1/1/2019,3560938,100590,0,9337,Jan
My YouTube REWIND 2018!,12/23/2018,1472004,98760,0,8570,Dec
Google Pixel Slate: This Ain't It Chief!,12/22/2018,4111340,107278,0,9839,Dec
Smartphone Awards 2018!,12/19/2018,6156517,198897,0,22305,Dec
Huawei Mate 20 Pro Review: The People's Choice!,12/15/2018,2599045,68384,0,6975,Dec
The Problem with YouTube Rewind!,12/12/2018,7745810,372578,0,34159,Dec
Top 5 McLaren 720S Features! [Auto Focus Ep. 4],12/11/2018,1890213,70415,0,4026,Dec
The Blind Smartphone Camera Test 2018!,12/4/2018,3043652,127735,0,17662,Dec
"Let's Talk About Tesla ""Killers!""",11/30/2018,3305609,104597,0,9892,Nov
2018 Macbook Air Review: No Risk!,11/29/2018,2886980,66268,0,5613,Nov
My Favorite Wireless Headphones | 2018!,11/21/2018,3967304,99554,0,7228,Nov
RIP Apollo (for now),11/19/2018,2746698,87168,0,9280,Nov
iPad Pro Review: The Best Ever... Still an iPad!,11/15/2018,5488952,118832,0,9721,Nov
iPhone XR Review: No Need to Panic!,11/12/2018,8315864,173011,0,15991,Nov
Let's Talk About the Foldable Smartphone!,11/8/2018,3018383,93206,0,9601,Nov
RED Hydrogen One Review: I Wanted this to be Great!,11/2/2018,3843337,86767,0,7905,Nov
2019 iPad Pro Impressions: Incredibly Thin!,10/30/2018,4927727,113098,0,12033,Oct
"OnePlus 6T Review: New Design, Same Price!",10/29/2018,7420758,143854,0,15457,Oct
My Pixel 3 Display Problem? Ask MKBHD V33!,10/25/2018,1577207,51067,0,4932,Oct
RED iPhone XR Unboxing & Giveaway!,10/23/2018,2452751,137087,0,333946,Oct
Google Pixel 3 XL Review: The Shadow of the Notch!,10/19/2018,4011216,100937,0,13675,Oct
Huawei Mate 20 Pro Impressions: Underrated?,10/16/2018,2665903,66839,0,9011,Oct
Pixel 3 XL Second Impression: Notch City!,10/11/2018,2030306,60795,0,6730,Oct
Razer Phone 2 Impressions!,10/11/2018,2403135,67729,0,4838,Oct
Google Pixel 3 Impressions!,10/9/2018,5230291,120274,0,18300,Oct
LG V40 Impressions: 5 Cameras on a Phone?!,10/3/2018,1880580,52725,0,5276,Oct
"iPhone ""Gates"" Explained!",10/1/2018,2760117,88935,0,10175,Oct
iPhone Xr Specs Letdown? Ask MKBHD V32!,9/26/2018,1654540,55100,0,6185,Sep
Apple Watch Series 4 Review: It's About Time!,9/21/2018,5440226,101158,0,7523,Sep
Apple iPhone Xs Review: A (S)mall Step Up!,9/18/2018,7541666,148217,0,12737,Sep
Gold iPhone Xs Max Unboxing!,9/18/2018,5240348,102244,0,7598,Sep
iPhone XR Impressions: All of the Colors!,9/13/2018,4450798,83263,0,12718,Sep
iPhone Xs and iPhone Xs Max Impressions!,9/13/2018,3211614,76813,0,9662,Sep
The Truth About the Pocophone F1!,9/10/2018,5642522,131933,0,12101,Sep
Living with a Supercar! [Auto Focus Ep 3],9/6/2018,2740743,77330,0,5774,Sep
RED Hydrogen One Unboxing! (Houdini Edition),8/31/2018,2689574,64529,0,5194,Aug
What's in my Tech Bag! [2018],8/27/2018,3880886,100284,0,3970,Aug
Is the Pocophone F1 Phone Legit? Matte Black AirPods? Ask MKBHD V31!,8/24/2018,2020891,57099,0,3155,Aug
Samsung Galaxy Note 9 Review: The Total Package!,8/23/2018,5408432,111582,0,11877,Aug
Tesla Factory Tour with Elon Musk!,8/20/2018,14868882,422372,0,19346,Aug
Talking Tech with Elon Musk!,8/18/2018,15567239,562395,0,27681,Aug
Samsung Galaxy Note 9 Impressions: Underrated!,8/9/2018,3571499,109916,0,15210,Aug
The 2019 iPhone X Models!,8/7/2018,3909070,73978,0,7749,Aug
Prime Picks! - The #1 Headphones on Amazon!,8/3/2018,2433422,57422,0,5286,Aug
Why I Don't Use the Pixel!,8/1/2018,4496876,112201,0,15293,Aug
Asus ROG Phone Impressions!,7/25/2018,3816134,98154,0,9542,Jul
i9 Macbook Pro 2018: Hottest Laptop on the Planet!,7/21/2018,3131869,74096,0,7205,Jul
Naming the new iPhone X? Ask MKBHD V30!,7/16/2018,1315239,45073,0,5418,Jul
Prime Picks! - The #1 Unlocked Smartphone on Amazon!,7/13/2018,1993964,59547,0,8761,Jul
The Truth About Colored Smartphones!,7/5/2018,2111580,69078,0,3954,Jul
Dear YouTube!,6/29/2018,1421561,79401,0,4055,Jun
$2400 Headphones? Sennheiser HD 820!,6/27/2018,3068181,90203,0,6570,Jun
Hot Ones is The Real Deal! Ask MKBHD V29!,6/25/2018,845360,32700,0,3197,Jun
Oppo Find X: Motorized Madness!,6/22/2018,6220649,90489,0,6779,Jun
On IGTV and YouTube Competition!,6/21/2018,1157233,54100,0,3897,Jun
Let's Talk About Smartphone Chins!,6/19/2018,1959999,72469,0,6037,Jun
Vivo NEX S Impressions: Truly Bezelless?,6/15/2018,2686064,62366,0,6298,Jun
HTC U12+ Review: A Phone With No Buttons!,6/12/2018,1750460,46767,0,4172,Jun
Top 5 iOS 12 Features!,6/7/2018,3802315,76350,0,3908,Jun
Top 5 WWDC 2018 Announcements!,6/5/2018,1259569,59199,0,3745,Jun
Driving Lamborghini Aventador S! [Auto Focus Ep. 2],6/2/2018,2535336,82704,0,4751,Jun
OnePlus 6 Review: Right On the Money!,5/25/2018,21984496,113191,0,9364,May
Top 5 Smartphone Cameras: The Blind Test! [2018],5/21/2018,2168872,62937,0,24289,May
OnePlus 6 Impressions!,5/16/2018,3168992,82359,0,6851,May
In-Glass Fingerprint Sensor: Testing the limits!,5/15/2018,2030017,62907,0,4832,May
Google Pixel 2 Revisited: Android P Beta!,5/11/2018,1983624,65114,0,4051,May
Let's Talk About Google Duplex!,5/10/2018,2779008,108034,0,13697,May
The Dream Camera? Ask MKBHD V28 with Peter McKinnon!,5/7/2018,1509589,48491,0,2279,May
LG G7 ThinQ Impressions!,5/2/2018,2721720,58262,0,6461,May
iPhone X Revisited: Still Worth $1000?!,4/28/2018,5583999,103757,0,12475,Apr
Huawei P20 Pro Review: The Triple Camera Smartphone!,4/23/2018,4582019,77341,0,6274,Apr
$750 Mini Boosted Board Impressions!,4/18/2018,1539095,50161,0,2231,Apr
Thank You!,4/16/2018,956099,82579,0,5796,Apr
